ESC 2019,,,,,,
Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2019,f,2019f,T,Malta,Italy,12
2019,f,2019f,T,Malta,Spain,0
2019,f,2019f,T,Malta,Israel,0
2019,f,2019f,T,Malta,United Kingdom,0
2019,f,2019f,T,Malta,Australia,3
2019,f,2019f,T,Malta,Russia,4
2019,f,2019f,T,Malta,Switzerland,8
2019,f,2019f,T,Malta,Norway,7
2019,f,2019f,T,Malta,Sweden,6
2019,f,2019f,T,Malta,Azerbaijan,2
2019,f,2019f,T,Malta,Macedonia,5
2019,f,2019f,T,Malta,Iceland,0
2019,f,2019f,T,Malta,Czech Republic,0
2019,f,2019f,T,Malta,Denmark,0
2019,f,2019f,T,Malta,Slovenia,0
2019,f,2019f,T,Malta,France,0
2019,f,2019f,T,Malta,Cyprus,0
2019,f,2019f,T,Malta,Serbia,0
2019,f,2019f,T,Malta,Albania,0
2019,f,2019f,T,Malta,Estonia,0
2019,f,2019f,T,Malta,San Marino,0
2019,f,2019f,T,Malta,Greece,0
2019,f,2019f,T,Malta,Germany,0
2019,f,2019f,T,Malta,Belarus,0
2019,f,2019f,T,Malta,Netherlands,1
2019,f,2019f,T,Albania,Italy,8
2019,f,2019f,T,Albania,Spain,0
2019,f,2019f,T,Albania,Israel,0
2019,f,2019f,T,Albania,United Kingdom,0
2019,f,2019f,T,Albania,Australia,0
2019,f,2019f,T,Albania,Russia,12
2019,f,2019f,T,Albania,Switzerland,4
2019,f,2019f,T,Albania,Norway,5
2019,f,2019f,T,Albania,Sweden,0
2019,f,2019f,T,Albania,Azerbaijan,3
2019,f,2019f,T,Albania,Macedonia,6
2019,f,2019f,T,Albania,Iceland,0
2019,f,2019f,T,Albania,Czech Republic,0
2019,f,2019f,T,Albania,Denmark,0
2019,f,2019f,T,Albania,Slovenia,0
2019,f,2019f,T,Albania,France,0
2019,f,2019f,T,Albania,Cyprus,0
2019,f,2019f,T,Albania,Malta,0
2019,f,2019f,T,Albania,Serbia,0
2019,f,2019f,T,Albania,Estonia,0
2019,f,2019f,T,Albania,San Marino,1
2019,f,2019f,T,Albania,Greece,2
2019,f,2019f,T,Albania,Germany,0
2019,f,2019f,T,Albania,Belarus,0
2019,f,2019f,T,Albania,Netherlands,7
2019,f,2019f,T,Czech Republic,Italy,2
2019,f,2019f,T,Czech Republic,Spain,0
2019,f,2019f,T,Czech Republic,Israel,3
2019,f,2019f,T,Czech Republic,United Kingdom,0
2019,f,2019f,T,Czech Republic,Australia,8
2019,f,2019f,T,Czech Republic,Russia,12
2019,f,2019f,T,Czech Republic,Switzerland,5
2019,f,2019f,T,Czech Republic,Norway,1
2019,f,2019f,T,Czech Republic,Sweden,0
2019,f,2019f,T,Czech Republic,Azerbaijan,7
2019,f,2019f,T,Czech Republic,Macedonia,0
2019,f,2019f,T,Czech Republic,Iceland,6
2019,f,2019f,T,Czech Republic,Denmark,0
2019,f,2019f,T,Czech Republic,Slovenia,0
2019,f,2019f,T,Czech Republic,France,0
2019,f,2019f,T,Czech Republic,Cyprus,0
2019,f,2019f,T,Czech Republic,Malta,0
2019,f,2019f,T,Czech Republic,Serbia,0
2019,f,2019f,T,Czech Republic,Albania,0
2019,f,2019f,T,Czech Republic,Estonia,0
2019,f,2019f,T,Czech Republic,San Marino,0
2019,f,2019f,T,Czech Republic,Greece,0
2019,f,2019f,T,Czech Republic,Germany,0
2019,f,2019f,T,Czech Republic,Belarus,0
2019,f,2019f,T,Czech Republic,Netherlands,4
2019,f,2019f,T,Armenia,Italy,7
2019,f,2019f,T,Armenia,Spain,0
2019,f,2019f,T,Armenia,Israel,0
2019,f,2019f,T,Armenia,United Kingdom,0
2019,f,2019f,T,Armenia,Australia,0
2019,f,2019f,T,Armenia,Russia,12
2019,f,2019f,T,Armenia,Switzerland,8
2019,f,2019f,T,Armenia,Norway,5
2019,f,2019f,T,Armenia,Sweden,2
2019,f,2019f,T,Armenia,Azerbaijan,0
2019,f,2019f,T,Armenia,Macedonia,0
2019,f,2019f,T,Armenia,Iceland,3
2019,f,2019f,T,Armenia,Czech Republic,0
2019,f,2019f,T,Armenia,Denmark,0
2019,f,2019f,T,Armenia,Slovenia,0
2019,f,2019f,T,Armenia,France,4
2019,f,2019f,T,Armenia,Cyprus,0
2019,f,2019f,T,Armenia,Malta,6
2019,f,2019f,T,Armenia,Serbia,0
2019,f,2019f,T,Armenia,Albania,0
2019,f,2019f,T,Armenia,Estonia,0
2019,f,2019f,T,Armenia,San Marino,0
2019,f,2019f,T,Armenia,Greece,0
2019,f,2019f,T,Armenia,Germany,0
2019,f,2019f,T,Armenia,Belarus,0
2019,f,2019f,T,Armenia,Netherlands,1
2019,f,2019f,T,Germany,Italy,6
2019,f,2019f,T,Germany,Spain,0
2019,f,2019f,T,Germany,Israel,0
2019,f,2019f,T,Germany,United Kingdom,0
2019,f,2019f,T,Germany,Australia,5
2019,f,2019f,T,Germany,Russia,8
2019,f,2019f,T,Germany,Switzerland,1
2019,f,2019f,T,Germany,Norway,12
2019,f,2019f,T,Germany,Sweden,0
2019,f,2019f,T,Germany,Azerbaijan,0
2019,f,2019f,T,Germany,Macedonia,0
2019,f,2019f,T,Germany,Iceland,2
2019,f,2019f,T,Germany,Czech Republic,0
2019,f,2019f,T,Germany,Denmark,4
2019,f,2019f,T,Germany,Slovenia,3
2019,f,2019f,T,Germany,France,0
2019,f,2019f,T,Germany,Cyprus,0
2019,f,2019f,T,Germany,Malta,0
2019,f,2019f,T,Germany,Serbia,0
2019,f,2019f,T,Germany,Albania,0
2019,f,2019f,T,Germany,Estonia,0
2019,f,2019f,T,Germany,San Marino,0
2019,f,2019f,T,Germany,Greece,0
2019,f,2019f,T,Germany,Belarus,0
2019,f,2019f,T,Germany,Netherlands,7
2019,f,2019f,T,Russia,Italy,0
2019,f,2019f,T,Russia,Spain,0
2019,f,2019f,T,Russia,Israel,0
2019,f,2019f,T,Russia,United Kingdom,0
2019,f,2019f,T,Russia,Australia,4
2019,f,2019f,T,Russia,Switzerland,2
2019,f,2019f,T,Russia,Norway,1
2019,f,2019f,T,Russia,Sweden,0
2019,f,2019f,T,Russia,Azerbaijan,12
2019,f,2019f,T,Russia,Macedonia,0
2019,f,2019f,T,Russia,Iceland,7
2019,f,2019f,T,Russia,Czech Republic,0
2019,f,2019f,T,Russia,Denmark,0
2019,f,2019f,T,Russia,Slovenia,6
2019,f,2019f,T,Russia,France,0
2019,f,2019f,T,Russia,Cyprus,0
2019,f,2019f,T,Russia,Malta,0
2019,f,2019f,T,Russia,Serbia,3
2019,f,2019f,T,Russia,Albania,0
2019,f,2019f,T,Russia,Estonia,0
2019,f,2019f,T,Russia,San Marino,0
2019,f,2019f,T,Russia,Greece,0
2019,f,2019f,T,Russia,Germany,0
2019,f,2019f,T,Russia,Belarus,8
2019,f,2019f,T,Russia,Netherlands,5
2019,f,2019f,T,Denmark,Italy,3
2019,f,2019f,T,Denmark,Spain,0
2019,f,2019f,T,Denmark,Israel,0
2019,f,2019f,T,Denmark,United Kingdom,0
2019,f,2019f,T,Denmark,Australia,2
2019,f,2019f,T,Denmark,Russia,0
2019,f,2019f,T,Denmark,Switzerland,6
2019,f,2019f,T,Denmark,Norway,12
2019,f,2019f,T,Denmark,Sweden,1
2019,f,2019f,T,Denmark,Azerbaijan,5
2019,f,2019f,T,Denmark,Macedonia,0
2019,f,2019f,T,Denmark,Iceland,4
2019,f,2019f,T,Denmark,Czech Republic,0
2019,f,2019f,T,Denmark,Slovenia,0
2019,f,2019f,T,Denmark,France,0
2019,f,2019f,T,Denmark,Cyprus,0
2019,f,2019f,T,Denmark,Malta,0
2019,f,2019f,T,Denmark,Serbia,0
2019,f,2019f,T,Denmark,Albania,0
2019,f,2019f,T,Denmark,Estonia,8
2019,f,2019f,T,Denmark,San Marino,0
2019,f,2019f,T,Denmark,Greece,0
2019,f,2019f,T,Denmark,Germany,0
2019,f,2019f,T,Denmark,Belarus,0
2019,f,2019f,T,Denmark,Netherlands,7
2019,f,2019f,T,San Marino,Italy,8
2019,f,2019f,T,San Marino,Spain,0
2019,f,2019f,T,San Marino,Israel,0
2019,f,2019f,T,San Marino,United Kingdom,0
2019,f,2019f,T,San Marino,Australia,0
2019,f,2019f,T,San Marino,Russia,12
2019,f,2019f,T,San Marino,Switzerland,5
2019,f,2019f,T,San Marino,Norway,3
2019,f,2019f,T,San Marino,Sweden,0
2019,f,2019f,T,San Marino,Azerbaijan,4
2019,f,2019f,T,San Marino,Macedonia,0
2019,f,2019f,T,San Marino,Iceland,2
2019,f,2019f,T,San Marino,Czech Republic,0
2019,f,2019f,T,San Marino,Denmark,0
2019,f,2019f,T,San Marino,Slovenia,0
2019,f,2019f,T,San Marino,France,0
2019,f,2019f,T,San Marino,Cyprus,7
2019,f,2019f,T,San Marino,Malta,0
2019,f,2019f,T,San Marino,Serbia,0
2019,f,2019f,T,San Marino,Albania,0
2019,f,2019f,T,San Marino,Estonia,0
2019,f,2019f,T,San Marino,Greece,1
2019,f,2019f,T,San Marino,Germany,0
2019,f,2019f,T,San Marino,Belarus,0
2019,f,2019f,T,San Marino,Netherlands,6
2019,f,2019f,T,Macedonia,Italy,3
2019,f,2019f,T,Macedonia,Spain,0
2019,f,2019f,T,Macedonia,Israel,0
2019,f,2019f,T,Macedonia,United Kingdom,0
2019,f,2019f,T,Macedonia,Australia,0
2019,f,2019f,T,Macedonia,Russia,0
2019,f,2019f,T,Macedonia,Switzerland,4
2019,f,2019f,T,Macedonia,Norway,5
2019,f,2019f,T,Macedonia,Sweden,0
2019,f,2019f,T,Macedonia,Azerbaijan,0
2019,f,2019f,T,Macedonia,Iceland,0
2019,f,2019f,T,Macedonia,Czech Republic,0
2019,f,2019f,T,Macedonia,Denmark,0
2019,f,2019f,T,Macedonia,Slovenia,2
2019,f,2019f,T,Macedonia,France,0
2019,f,2019f,T,Macedonia,Cyprus,0
2019,f,2019f,T,Macedonia,Malta,6
2019,f,2019f,T,Macedonia,Serbia,1
2019,f,2019f,T,Macedonia,Albania,12
2019,f,2019f,T,Macedonia,Estonia,0
2019,f,2019f,T,Macedonia,San Marino,8
2019,f,2019f,T,Macedonia,Greece,0
2019,f,2019f,T,Macedonia,Germany,0
2019,f,2019f,T,Macedonia,Belarus,0
2019,f,2019f,T,Macedonia,Netherlands,7
2019,f,2019f,T,Sweden,Italy,4
2019,f,2019f,T,Sweden,Spain,0
2019,f,2019f,T,Sweden,Israel,0
2019,f,2019f,T,Sweden,United Kingdom,0
2019,f,2019f,T,Sweden,Australia,5
2019,f,2019f,T,Sweden,Russia,0
2019,f,2019f,T,Sweden,Switzerland,0
2019,f,2019f,T,Sweden,Norway,12
2019,f,2019f,T,Sweden,Azerbaijan,3
2019,f,2019f,T,Sweden,Macedonia,2
2019,f,2019f,T,Sweden,Iceland,8
2019,f,2019f,T,Sweden,Czech Republic,0
2019,f,2019f,T,Sweden,Denmark,7
2019,f,2019f,T,Sweden,Slovenia,0
2019,f,2019f,T,Sweden,France,0
2019,f,2019f,T,Sweden,Cyprus,0
2019,f,2019f,T,Sweden,Malta,0
2019,f,2019f,T,Sweden,Serbia,0
2019,f,2019f,T,Sweden,Albania,0
2019,f,2019f,T,Sweden,Estonia,1
2019,f,2019f,T,Sweden,San Marino,0
2019,f,2019f,T,Sweden,Greece,0
2019,f,2019f,T,Sweden,Germany,0
2019,f,2019f,T,Sweden,Belarus,0
2019,f,2019f,T,Sweden,Netherlands,6
2019,f,2019f,T,Slovenia,Italy,8
2019,f,2019f,T,Slovenia,Spain,0
2019,f,2019f,T,Slovenia,Israel,0
2019,f,2019f,T,Slovenia,United Kingdom,0
2019,f,2019f,T,Slovenia,Australia,2
2019,f,2019f,T,Slovenia,Russia,0
2019,f,2019f,T,Slovenia,Switzerland,4
2019,f,2019f,T,Slovenia,Norway,6
2019,f,2019f,T,Slovenia,Sweden,0
2019,f,2019f,T,Slovenia,Azerbaijan,0
2019,f,2019f,T,Slovenia,Macedonia,12
2019,f,2019f,T,Slovenia,Iceland,7
2019,f,2019f,T,Slovenia,Czech Republic,0
2019,f,2019f,T,Slovenia,Denmark,3
2019,f,2019f,T,Slovenia,France,0
2019,f,2019f,T,Slovenia,Cyprus,0
2019,f,2019f,T,Slovenia,Malta,0
2019,f,2019f,T,Slovenia,Serbia,1
2019,f,2019f,T,Slovenia,Albania,0
2019,f,2019f,T,Slovenia,Estonia,0
2019,f,2019f,T,Slovenia,San Marino,0
2019,f,2019f,T,Slovenia,Greece,0
2019,f,2019f,T,Slovenia,Germany,0
2019,f,2019f,T,Slovenia,Belarus,0
2019,f,2019f,T,Slovenia,Netherlands,5
2019,f,2019f,T,Cyprus,Italy,8
2019,f,2019f,T,Cyprus,Spain,4
2019,f,2019f,T,Cyprus,Israel,5
2019,f,2019f,T,Cyprus,United Kingdom,0
2019,f,2019f,T,Cyprus,Australia,2
2019,f,2019f,T,Cyprus,Russia,1
2019,f,2019f,T,Cyprus,Switzerland,7
2019,f,2019f,T,Cyprus,Norway,0
2019,f,2019f,T,Cyprus,Sweden,0
2019,f,2019f,T,Cyprus,Azerbaijan,0
2019,f,2019f,T,Cyprus,Macedonia,0
2019,f,2019f,T,Cyprus,Iceland,0
2019,f,2019f,T,Cyprus,Czech Republic,0
2019,f,2019f,T,Cyprus,Denmark,0
2019,f,2019f,T,Cyprus,Slovenia,0
2019,f,2019f,T,Cyprus,France,3
2019,f,2019f,T,Cyprus,Malta,0
2019,f,2019f,T,Cyprus,Serbia,0
2019,f,2019f,T,Cyprus,Albania,0
2019,f,2019f,T,Cyprus,Estonia,0
2019,f,2019f,T,Cyprus,San Marino,0
2019,f,2019f,T,Cyprus,Greece,12
2019,f,2019f,T,Cyprus,Germany,0
2019,f,2019f,T,Cyprus,Belarus,0
2019,f,2019f,T,Cyprus,Netherlands,6
2019,f,2019f,T,Netherlands,Italy,1
2019,f,2019f,T,Netherlands,Spain,3
2019,f,2019f,T,Netherlands,Israel,0
2019,f,2019f,T,Netherlands,United Kingdom,0
2019,f,2019f,T,Netherlands,Australia,2
2019,f,2019f,T,Netherlands,Russia,0
2019,f,2019f,T,Netherlands,Switzerland,6
2019,f,2019f,T,Netherlands,Norway,12
2019,f,2019f,T,Netherlands,Sweden,8
2019,f,2019f,T,Netherlands,Azerbaijan,4
2019,f,2019f,T,Netherlands,Macedonia,0
2019,f,2019f,T,Netherlands,Iceland,7
2019,f,2019f,T,Netherlands,Czech Republic,0
2019,f,2019f,T,Netherlands,Denmark,5
2019,f,2019f,T,Netherlands,Slovenia,0
2019,f,2019f,T,Netherlands,France,0
2019,f,2019f,T,Netherlands,Cyprus,0
2019,f,2019f,T,Netherlands,Malta,0
2019,f,2019f,T,Netherlands,Serbia,0
2019,f,2019f,T,Netherlands,Albania,0
2019,f,2019f,T,Netherlands,Estonia,0
2019,f,2019f,T,Netherlands,San Marino,0
2019,f,2019f,T,Netherlands,Greece,0
2019,f,2019f,T,Netherlands,Germany,0
2019,f,2019f,T,Netherlands,Belarus,0
2019,f,2019f,T,Greece,Italy,1
2019,f,2019f,T,Greece,Spain,4
2019,f,2019f,T,Greece,Israel,0
2019,f,2019f,T,Greece,United Kingdom,0
2019,f,2019f,T,Greece,Australia,3
2019,f,2019f,T,Greece,Russia,8
2019,f,2019f,T,Greece,Switzerland,7
2019,f,2019f,T,Greece,Norway,0
2019,f,2019f,T,Greece,Sweden,0
2019,f,2019f,T,Greece,Azerbaijan,0
2019,f,2019f,T,Greece,Macedonia,0
2019,f,2019f,T,Greece,Iceland,2
2019,f,2019f,T,Greece,Czech Republic,0
2019,f,2019f,T,Greece,Denmark,0
2019,f,2019f,T,Greece,Slovenia,0
2019,f,2019f,T,Greece,France,0
2019,f,2019f,T,Greece,Cyprus,12
2019,f,2019f,T,Greece,Malta,0
2019,f,2019f,T,Greece,Serbia,0
2019,f,2019f,T,Greece,Albania,5
2019,f,2019f,T,Greece,Estonia,0
2019,f,2019f,T,Greece,San Marino,0
2019,f,2019f,T,Greece,Germany,0
2019,f,2019f,T,Greece,Belarus,0
2019,f,2019f,T,Greece,Netherlands,6
2019,f,2019f,T,Israel,Italy,8
2019,f,2019f,T,Israel,Spain,5
2019,f,2019f,T,Israel,United Kingdom,0
2019,f,2019f,T,Israel,Australia,6
2019,f,2019f,T,Israel,Russia,12
2019,f,2019f,T,Israel,Switzerland,7
2019,f,2019f,T,Israel,Norway,1
2019,f,2019f,T,Israel,Sweden,0
2019,f,2019f,T,Israel,Azerbaijan,3
2019,f,2019f,T,Israel,Macedonia,0
2019,f,2019f,T,Israel,Iceland,0
2019,f,2019f,T,Israel,Czech Republic,0
2019,f,2019f,T,Israel,Denmark,0
2019,f,2019f,T,Israel,Slovenia,0
2019,f,2019f,T,Israel,France,4
2019,f,2019f,T,Israel,Cyprus,0
2019,f,2019f,T,Israel,Malta,0
2019,f,2019f,T,Israel,Serbia,0
2019,f,2019f,T,Israel,Albania,0
2019,f,2019f,T,Israel,Estonia,0
2019,f,2019f,T,Israel,San Marino,0
2019,f,2019f,T,Israel,Greece,0
2019,f,2019f,T,Israel,Germany,0
2019,f,2019f,T,Israel,Belarus,0
2019,f,2019f,T,Israel,Netherlands,2
2019,f,2019f,T,Norway,Italy,7
2019,f,2019f,T,Norway,Spain,0
2019,f,2019f,T,Norway,Israel,0
2019,f,2019f,T,Norway,United Kingdom,0
2019,f,2019f,T,Norway,Australia,4
2019,f,2019f,T,Norway,Russia,0
2019,f,2019f,T,Norway,Switzerland,6
2019,f,2019f,T,Norway,Sweden,12
2019,f,2019f,T,Norway,Azerbaijan,3
2019,f,2019f,T,Norway,Macedonia,0
2019,f,2019f,T,Norway,Iceland,1
2019,f,2019f,T,Norway,Czech Republic,0
2019,f,2019f,T,Norway,Denmark,5
2019,f,2019f,T,Norway,Slovenia,0
2019,f,2019f,T,Norway,France,0
2019,f,2019f,T,Norway,Cyprus,0
2019,f,2019f,T,Norway,Malta,0
2019,f,2019f,T,Norway,Serbia,0
2019,f,2019f,T,Norway,Albania,0
2019,f,2019f,T,Norway,Estonia,2
2019,f,2019f,T,Norway,San Marino,0
2019,f,2019f,T,Norway,Greece,0
2019,f,2019f,T,Norway,Germany,0
2019,f,2019f,T,Norway,Belarus,0
2019,f,2019f,T,Norway,Netherlands,8
2019,f,2019f,T,United Kingdom,Italy,0
2019,f,2019f,T,United Kingdom,Spain,2
2019,f,2019f,T,United Kingdom,Israel,0
2019,f,2019f,T,United Kingdom,Australia,1
2019,f,2019f,T,United Kingdom,Russia,0
2019,f,2019f,T,United Kingdom,Switzerland,7
2019,f,2019f,T,United Kingdom,Norway,12
2019,f,2019f,T,United Kingdom,Sweden,5
2019,f,2019f,T,United Kingdom,Azerbaijan,3
2019,f,2019f,T,United Kingdom,Macedonia,0
2019,f,2019f,T,United Kingdom,Iceland,8
2019,f,2019f,T,United Kingdom,Czech Republic,0
2019,f,2019f,T,United Kingdom,Denmark,6
2019,f,2019f,T,United Kingdom,Slovenia,0
2019,f,2019f,T,United Kingdom,France,0
2019,f,2019f,T,United Kingdom,Cyprus,0
2019,f,2019f,T,United Kingdom,Malta,0
2019,f,2019f,T,United Kingdom,Serbia,0
2019,f,2019f,T,United Kingdom,Albania,0
2019,f,2019f,T,United Kingdom,Estonia,0
2019,f,2019f,T,United Kingdom,San Marino,0
2019,f,2019f,T,United Kingdom,Greece,0
2019,f,2019f,T,United Kingdom,Germany,0
2019,f,2019f,T,United Kingdom,Belarus,0
2019,f,2019f,T,United Kingdom,Netherlands,4
2019,f,2019f,T,Iceland,Italy,6
2019,f,2019f,T,Iceland,Spain,0
2019,f,2019f,T,Iceland,Israel,0
2019,f,2019f,T,Iceland,United Kingdom,0
2019,f,2019f,T,Iceland,Australia,1
2019,f,2019f,T,Iceland,Russia,0
2019,f,2019f,T,Iceland,Switzerland,7
2019,f,2019f,T,Iceland,Norway,12
2019,f,2019f,T,Iceland,Sweden,8
2019,f,2019f,T,Iceland,Azerbaijan,0
2019,f,2019f,T,Iceland,Macedonia,0
2019,f,2019f,T,Iceland,Czech Republic,2
2019,f,2019f,T,Iceland,Denmark,4
2019,f,2019f,T,Iceland,Slovenia,0
2019,f,2019f,T,Iceland,France,0
2019,f,2019f,T,Iceland,Cyprus,0
2019,f,2019f,T,Iceland,Malta,0
2019,f,2019f,T,Iceland,Serbia,0
2019,f,2019f,T,Iceland,Albania,0
2019,f,2019f,T,Iceland,Estonia,3
2019,f,2019f,T,Iceland,San Marino,0
2019,f,2019f,T,Iceland,Greece,0
2019,f,2019f,T,Iceland,Germany,0
2019,f,2019f,T,Iceland,Belarus,0
2019,f,2019f,T,Iceland,Netherlands,5
2019,f,2019f,T,Estonia,Italy,0
2019,f,2019f,T,Estonia,Spain,0
2019,f,2019f,T,Estonia,Israel,0
2019,f,2019f,T,Estonia,United Kingdom,0
2019,f,2019f,T,Estonia,Australia,2
2019,f,2019f,T,Estonia,Russia,12
2019,f,2019f,T,Estonia,Switzerland,4
2019,f,2019f,T,Estonia,Norway,1
2019,f,2019f,T,Estonia,Sweden,3
2019,f,2019f,T,Estonia,Azerbaijan,0
2019,f,2019f,T,Estonia,Macedonia,0
2019,f,2019f,T,Estonia,Iceland,5
2019,f,2019f,T,Estonia,Czech Republic,0
2019,f,2019f,T,Estonia,Denmark,6
2019,f,2019f,T,Estonia,Slovenia,7
2019,f,2019f,T,Estonia,France,0
2019,f,2019f,T,Estonia,Cyprus,0
2019,f,2019f,T,Estonia,Malta,0
2019,f,2019f,T,Estonia,Serbia,0
2019,f,2019f,T,Estonia,Albania,0
2019,f,2019f,T,Estonia,San Marino,0
2019,f,2019f,T,Estonia,Greece,0
2019,f,2019f,T,Estonia,Germany,0
2019,f,2019f,T,Estonia,Belarus,0
2019,f,2019f,T,Estonia,Netherlands,8
2019,f,2019f,T,Azerbaijan,Italy,6
2019,f,2019f,T,Azerbaijan,Spain,2
2019,f,2019f,T,Azerbaijan,Israel,0
2019,f,2019f,T,Azerbaijan,United Kingdom,0
2019,f,2019f,T,Azerbaijan,Australia,0
2019,f,2019f,T,Azerbaijan,Russia,12
2019,f,2019f,T,Azerbaijan,Switzerland,8
2019,f,2019f,T,Azerbaijan,Norway,0
2019,f,2019f,T,Azerbaijan,Sweden,0
2019,f,2019f,T,Azerbaijan,Macedonia,3
2019,f,2019f,T,Azerbaijan,Iceland,0
2019,f,2019f,T,Azerbaijan,Czech Republic,0
2019,f,2019f,T,Azerbaijan,Denmark,0
2019,f,2019f,T,Azerbaijan,Slovenia,0
2019,f,2019f,T,Azerbaijan,France,0
2019,f,2019f,T,Azerbaijan,Cyprus,0
2019,f,2019f,T,Azerbaijan,Malta,4
2019,f,2019f,T,Azerbaijan,Serbia,0
2019,f,2019f,T,Azerbaijan,Albania,0
2019,f,2019f,T,Azerbaijan,Estonia,0
2019,f,2019f,T,Azerbaijan,San Marino,1
2019,f,2019f,T,Azerbaijan,Greece,0
2019,f,2019f,T,Azerbaijan,Germany,0
2019,f,2019f,T,Azerbaijan,Belarus,5
2019,f,2019f,T,Azerbaijan,Netherlands,7
2019,f,2019f,T,France,Italy,1
2019,f,2019f,T,France,Spain,7
2019,f,2019f,T,France,Israel,12
2019,f,2019f,T,France,United Kingdom,0
2019,f,2019f,T,France,Australia,6
2019,f,2019f,T,France,Russia,3
2019,f,2019f,T,France,Switzerland,2
2019,f,2019f,T,France,Norway,8
2019,f,2019f,T,France,Sweden,0
2019,f,2019f,T,France,Azerbaijan,0
2019,f,2019f,T,France,Macedonia,0
2019,f,2019f,T,France,Iceland,0
2019,f,2019f,T,France,Czech Republic,0
